,Company,Date_x,Next_Date,Sentiment_Score,Price
2538,PAYX,2022-05-31,2022-06-30,0.20500210300000002,113.18277740478516
2539,PBCT,2014-12-31,2015-01-30,0.0128631,
2540,PBCT,2015-12-31,2016-02-01,0.044627669,
2541,PBCT,2016-12-31,2017-01-30,0.039199318999999996,
2542,PBCT,2017-12-31,2018-01-30,0.10067321800000001,
2543,PBCT,2018-12-31,2019-01-30,0.082489278,
2544,PBCT,2019-12-31,2020-01-30,0.084663661,
2545,PBCT,2020-12-31,2021-02-01,-0.022695739,
2546,PBCT,2021-12-31,2022-01-31,-0.004545037,
2547,PBI,2014-12-31,2015-01-30,0.127075403,16.477668762207028
2548,PBI,2015-12-31,2016-02-01,0.07384301,13.833062171936035
2549,PBI,2016-12-31,2017-01-30,0.031709441,11.671830177307127
2550,PBI,2017-12-31,2018-01-30,0.10707773,9.966955184936523
2551,PBI,2018-12-31,2019-01-30,0.10367293699999999,6.206174850463867
2552,PBI,2019-12-31,2020-01-30,-0.004026266,3.357008457183838
2553,PBI,2020-12-31,2021-02-01,-0.14274637699999998,10.158320426940918
2554,PBI,2021-12-31,2022-01-31,-0.017857005,5.9452571868896475
2555,PCAR,2014-12-31,2015-01-30,0.20886871399999998,45.94067764282226
2556,PCAR,2015-12-31,2016-02-01,0.25459389,38.801666259765625
2557,PCAR,2016-12-31,2017-01-30,0.026086611000000003,55.4850959777832
2558,PCAR,2017-12-31,2018-01-30,0.168726166,64.14987182617189
2559,PCAR,2018-12-31,2019-01-30,0.260121547,57.77062606811523
2560,PCAR,2019-12-31,2020-01-30,0.245957552,71.10426330566406
2561,PCAR,2020-12-31,2021-02-01,-0.131822857,87.32050323486328
2562,PCAR,2021-12-31,2022-01-31,0.268941926,91.95348358154295
2563,PCG,2014-12-31,2015-01-30,-0.09905906,53.77135848999024
2564,PCG,2015-12-31,2016-02-01,-0.01478307,52.51677703857422
2565,PCG,2016-12-31,2017-01-30,-0.020641472,59.19851684570313
2566,PCG,2017-12-31,2018-01-30,-0.06640542599999999,41.97999954223633
2567,PCG,2018-12-31,2019-01-30,-0.058095210999999994,13.670000076293945
2568,PCG,2019-12-31,2020-01-30,-0.040678392,14.90999984741211
2569,PCG,2020-12-31,2021-02-01,-0.037040749,11.489999771118164
2570,PCG,2021-12-31,2022-01-31,-0.046506492999999996,12.789999961853027
2571,PCLN,2014-12-31,2015-01-30,0.003830272,
2572,PCLN,2015-12-31,2016-02-01,-0.043638217,
2573,PCLN,2016-12-31,2017-01-30,0.07182028900000001,
