Company,Cik,Date,Sentiment_Score
CCI,1051470,20171231,0.172921177
CCI,1051470,20181231,0.220736025
CCI,1051470,20191231,0.185752782
CCI,1051470,20201231,0.178666583
CCI,1051470,20211231,0.140002284
CCL,815097,20141130,0
CCL,815097,20151130,0
CCL,815097,20161130,0
CCL,815097,20171130,0
CCL,815097,20181130,0
CCL,815097,20191130,0
CCL,815097,20201130,0
CCL,815097,20211130,0
CELG,816284,20141231,0.098388945
CELG,816284,20151231,0.069336792
CELG,816284,20161231,0.041940616
CELG,816284,20171231,0.07760246
CELG,816284,20181231,0.075135458
CERN,804753,20150103,0.23945576
CERN,804753,20160102,0.297268689
CERN,804753,20161231,0.191668399
CERN,804753,20171230,0.276404804
CERN,804753,20181229,0.290096784
CERN,804753,20191228,0.095548068
CERN,804753,20201231,-0.103334084
CERN,804753,20211231,1.96E-05
CF,1324404,20141231,-0.002742806
CF,1324404,20151231,-0.04909478
CF,1324404,20161231,-0.14035023
CF,1324404,20171231,-0.050763532
CF,1324404,20181231,0.05702165
CF,1324404,20191231,0.024284654
CF,1324404,20201231,-0.091959297
CF,1324404,20211231,0.024587214
CFG,759944,20141231,0.036866287
CFG,759944,20151231,0.053262924
CFG,759944,20161231,0.126800545
CFG,759944,20171231,0.120777183
CFG,759944,20181231,0.057549469
CFG,759944,20191231,0.01320513
CFG,759944,20201231,0.061328783
CFG,759944,20211231,0.140313706
CHD,313927,20141231,0.049566229
CHD,313927,20151231,0.108637791
CHD,313927,20161231,0.002519797
CHD,313927,20171231,0.049019118
CHD,313927,20181231,0.1046177
CHD,313927,20191231,0.13446818
CHD,313927,20201231,-0.122115993
CHD,313927,20211231,0.014672309
CHK,895126,20141231,-0.026731877
CHK,895126,20151231,-0.038109215
CHK,895126,20161231,-0.096798311
CHK,895126,20171231,0.120729382
CHK,895126,20181231,0.11480187
CHK,895126,20191231,0.063542897
CHK,895126,20201231,-0.189536357
CHK,895126,20211231,0.135948164
CHRW,1043277,20141231,0.257357718
CHRW,1043277,20151231,0.236078303
CHRW,1043277,20161231,0.152075955
CHRW,1043277,20171231,0.00361683
CHRW,1043277,20181231,0.241846739
CHRW,1043277,20191231,-0.03482611
CHRW,1043277,20201231,0.127689753
CHRW,1043277,20211231,0.258747632
CHTR,1091667,20141231,0.022254691
CHTR,1091667,20151231,0.027249617
CHTR,1091667,20161231,0.008244076
CHTR,1091667,20171231,0.13429721
CHTR,1091667,20181231,0.020560149
CHTR,1091667,20191231,0.061880085
CHTR,1091667,20201231,0.003626284
CHTR,1091667,20211231,0.02124432
CI,701221,20141231,0.207119177
CI,701221,20151231,0.152137416
CI,701221,20161231,0.160484412
CI,701221,20171231,0.143588724
CINF,20286,20141231,0.287238911
CINF,20286,20151231,0.379664791
CINF,20286,20161231,0.269466774
CINF,20286,20171231,0.294341609
CINF,20286,20181231,0.220237218
CINF,20286,20191231,0.264453019
CINF,20286,20201231,0.20220033
CINF,20286,20211231,0.191164908
CLX,21076,20150630,0
CLX,21076,20160630,0
CLX,21076,20170630,0
CLX,21076,20180630,0
CLX,21076,20190630,0
CLX,21076,20200630,0
CLX,21076,20210630,0
CMA,28412,20141231,0
CMA,28412,20151231,0
CMA,28412,20161231,0
CMA,28412,20171231,0
CMA,28412,20181231,0
CMA,28412,20191231,0
CMA,28412,20201231,0
CMA,28412,20211231,0
CMCSA,902739,20141231,0.052484964
CMCSA,902739,20151231,0.07961401
CMCSA,902739,20161231,0.080708029
CMCSA,902739,20171231,0.066882931
CMCSA,902739,20181231,-0.044317864
CMCSA,902739,20191231,-0.059831619
CMCSA,1166691,20201231,-0.199590639
CMCSA,1166691,20211231,-0.035146504
CME,1156375,20141231,0.007506504
CME,1156375,20151231,0.0610713
CME,1156375,20161231,0.004405292
CME,1156375,20171231,-0.01530194
CME,1156375,20181231,0.008842816
CME,1156375,20191231,-0.062358013
CME,1156375,20201231,-0.00824074
CME,1156375,20211231,-0.059069879
CMG,1058090,20141231,0.139470519
CMG,1058090,20151231,0.009107293
CMG,1058090,20161231,0.140556692
CMG,1058090,20171231,0.123049048
CMG,1058090,20181231,0.084303713
CMG,1058090,20191231,0.10340585
CMG,1058090,20201231,0.163880167
CMG,1058090,20211231,-1.44E-05
CMI,26172,20141231,0.199614148
CMI,26172,20151231,0.031767161
CMI,26172,20161231,-0.021222876
CMI,26172,20171231,0.064954466
CMI,26172,20181231,0.209299095
CMI,26172,20191231,0.039011561
CMI,26172,20201231,-0.056196933
CMI,26172,20211231,0.185204654
CMS,201533,20141231,0
CMS,201533,20151231,0
CMS,201533,20161231,0
CMS,201533,20171231,0.135511612
CMS,201533,20181231,0.162328339
CMS,201533,20191231,0.122972619
CMS,201533,20201231,0.099577686
CMS,201533,20211231,0.134951334
CNC,1071739,20141231,0.075726378
CNC,1071739,20151231,0.122250464
CNC,1071739,20161231,0.137530654
CNC,1071739,20171231,0.125464819
CNC,1071739,20181231,0.042987684
CNC,1071739,20191231,0.084720435
CNC,1071739,20201231,0.126937928
CNC,1071739,20211231,0.141976018
CNDT,1677703,20161231,-0.040476262
CNDT,1677703,20171231,-0.035376201
CNDT,1677703,20181231,-0.155906858
CNDT,1677703,20191231,-0.092069894
CNDT,1677703,20201231,-0.019095606
CNDT,1677703,20211231,0.12337613
CNP,48732,20181231,-0.05956706
CNP,48732,20191231,-0.054579323
CNP,48732,20201231,-0.170611618
CNP,48732,20211231,-0.214535198
CNP,1130310,20141231,-0.074119729
CNP,1130310,20151231,-0.082994104
CNP,1130310,20161231,-0.0745069
CNP,1130310,20171231,-0.059916565
COF,927628,20141231,0.089398049
COF,927628,20151231,0.054001196
COF,927628,20161231,0.042779776
COF,927628,20171231,0.082659547
